trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-72.38332203749951,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-203.96857787121948,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-173.42222553004302,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-56.08377316496897,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-88.267897975849,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",35,2,-158.07114944099587,"{0: 16, 1: 4, 2: 12, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-147.13110799381607,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-117.79185129281515,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-140.90093016350593,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",30,0,-90.35745162850294,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-65.17899412209697,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-114.97591971954515,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-73.48444760042086,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",35,10,-140.05055792600797,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",1
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-55.9902435902797,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-76.70470005240468,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-157.25340831520032,"{0: 6, 1: 5, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-175.3193788332777,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-95.44825621936414,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-85.16436784191687,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
