trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.26272052307581,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.21518465746897,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.78622214057955,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.431455138916824,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.43854759983154,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.87384968509662,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-272.42438492741235,"{0: 19, 1: 1, 2: 9, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.83651438937676,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",35,0,-240.76617565594015,"{0: 20, 1: 3, 2: 7, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.57049104695065,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-170.40415583020985,"{0: 18, 1: 3, 2: 4, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.11474429106156,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.71405413538497,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.8851998103301,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.70542876483077,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.1266444715115,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.20096409449442,"{0: 9, 1: 7, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-185.4782523298383,"{0: 18, 1: 6, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.73003568672425,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.16229135725928,"{0: 17, 1: 2, 2: 10, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.17992435311151,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.1810719415119,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.580873246607,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.85903638478135,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,12,-37.062220499509664,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.01789729077274,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,14,-49.52094384234627,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-214.3616806644057,"{0: 18, 1: 7, 2: 4, 3: 4, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.1549537911464,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.16858992254514,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
